,Kingdom,Clade
I498,2,1224
I799,2,1224
I1311,2,29547
I417,2,1224
I2734,2,1783272
I3922,2,1783272
I1870,2,203691
I1428,2,1783272
I2133,2,1783272
I3826,2,1783272
I918,2,29547
I262,2,1224
I1678,2,1783272
I2782,2,1224
I3056,2,1783272
I1035,2,1224
I1133,2,1224
I171,2,57723
I3679,2,1783272
I1288,2,1783272
I431,2,1224
I1165,2,1783270
I2800,2,1224
I4004,2,1783272
I1068,2,508458
I1831,2,1783272
I2168,2,1224
I3599,2,1224
I320,2,1783272
I3914,2,1224
I3431,2,1783272
I1971,2,1224
I3730,2,1783272
I3735,2,1783272
I1197,2,1224
I2863,2,1783272
I2894,2,200940
I2722,2,1783272
I3120,2,1783272
I3095,2,200918
I3934,2,1783272
I1881,2,1783272
I794,2,1224
I2178,2,1224
I2507,2,1783272
I2709,2,1783272
I1552,2,32066
I703,2,1224
I1582,2,1783272
I1722,2,508458
I2220,2,1783272
I151,2,1224
I661,2,1224
I3874,2,1783272
I91,2,1224
I1972,2,1224
I1220,2,1783272
I2582,2,1783272
I744,2,1783272
I1820,2,1783272
I2882,2,1783270
I2985,2,1224
I1660,2,1783272
I1784,2,2818505
I2265,2,1783270
I1056,2,57723
I3016,2,1224
I3673,2,1783272
I1407,2,1783270
I3550,2,1783272
I3866,2,1224
I82,2,1224
I2541,2,1783272
I1730,2,1783272
I3385,2,1783272
I788,2,1224
I3717,2,1224
I1549,2,29547
I3482,2,1224
I85,2,1224
I2098,2,1783272
I1397,2,1783272
I1156,2,1783272
I3211,2,1783272
I893,2,1224
I3028,2,1783272
I886,2,1224
I1046,2,1224
I642,2,1224
I2303,2,200918
I3517,2,1783272
I370,2,1224
I435,2,1224
I3566,2,1783272
I1017,2,1783272
I2628,2,1783272
I3043,2,1783272
I2106,2,1783272
I3586,2,1783272
I2436,2,1783272
I2870,2,1783272
I1658,2,1783272
I3124,2,1783272
I286,2,1224
I1825,2,1783272
I3065,2,1783272
I3993,2,1224
I1269,2,1783270
I3530,2,1783270
I2433,2,1783272
I165,2,1224
I1039,2,1783272
I2062,2,1783270
I2126,2,1783272
I927,2,1783272
I179,2,1224
I294,2,1224
I1950,2,1783272
I1724,2,1783272
I2202,2,1224
I598,2,1783270
I775,2,1224
I924,2,1783272
I2434,2,1783272
I1091,2,1224
I1195,2,1783272
I3447,2,1783272
I1202,2,1783272
I2189,2,1224
I2416,2,1783272
I178,2,1783257
I1681,2,1783272
I1440,2,29547
I1761,2,1783272
I1774,2,1783272
I2171,2,1224
I1892,2,32066
I2260,2,1783270
I1840,2,1783272
I2371,2,1783272
I2474,2,1783272
I3750,2,1783272
I3804,2,1224
I3741,2,1783272
I3895,2,1783272
I4054,2,1224
I1887,2,29547
I2458,2,1783270
I1268,2,1783270
I818,2,1783272
I639,2,1224
I1603,2,1783272
I2031,2,1783272
I2089,2,200940
I296,2,1224
I1274,2,203691
I38,2,1224
I1403,2,32066
I3046,2,1783272
I3671,2,1783272
I3094,2,1783270
I1824,2,1783272
I386,2,1783270
I766,2,1224
I297,2,1224
I1655,2,1783272
I2299,2,1783272
I249,2,1783257
I556,2,1224
I3115,2,1783272
I1369,2,1783272
I524,2,1224
I1777,2,1224
I395,2,1783272
I2677,2,203691
I1262,2,1783272
I2440,2,1783272
I1489,2,1224
I1626,2,1224
I921,2,29547
I1731,2,1783272
I1108,2,29547
I710,2,1224
I2213,2,1783272
I1384,2,1783270
I3412,2,1783270
I3471,2,1783272
I982,2,1224
I3905,2,1224
I4011,2,1224
I1409,2,508458
I3254,2,1783270
I577,2,1783272
I1558,2,1783270
I2132,2,29547
I3467,2,1783272
I3637,2,1783272
I2741,2,1783272
I2562,2,1783272
I1380,2,1783270
I3520,2,1783272
I3898,2,1783272
I2396,2,1224
I3403,2,1783270
I134,2,1783272
I1904,2,1783272
I823,2,1783272
I2029,2,1783272
I128,2,1224
I1861,2,1783270
I2625,2,1783272
I3021,2,1783272
I3674,2,1783272
I1131,2,1224
I907,2,1783272
I1947,2,1783272
I362,2,1224
I913,2,1783272
I3348,2,1224
I2632,2,1783272
I1003,2,1783272
I3708,2,1224
I2272,2,203691
I2304,2,1783272
I2745,2,1783272
I2825,2,1783272
I681,2,1783257
I745,2,1783272
I3237,2,1783270
I3221,2,1783272
I28,2,1783270
I2955,2,1783272
I1874,2,200938
I1300,2,1783272
I1586,2,29547
I583,2,1783272
I3085,2,1783270
I2409,2,1783272
I3942,2,1224
I2836,2,1783272
I2107,2,1783272
I2103,2,200918
I3752,2,1783270
I3799,2,1224
I3844,2,1783272
I156,2,1224
I887,2,1224
I1116,2,1783272
I1118,2,1783272
I3957,2,1783272
I1746,2,1783272
I2543,2,1783272
I3071,2,1783270
I910,2,1783272
I1279,2,1783272
I2121,2,1783272
I2862,2,1783272
I3828,2,1783270
I613,2,1224
I1706,2,1783272
I2506,2,1783272
I3413,2,1783270
I272,2,1224
I148,2,1224
I3779,2,1783272
I993,2,1224
I2412,2,1783272
I2970,2,1783272
I2754,2,1783272
I3537,2,1783270
I2078,2,1783272
I3769,2,1783272
I709,2,1224
I3785,2,1224
I2608,2,1783272
I2710,2,1783272
I1955,2,1783272
I69,2,1783272
I812,2,1224
I2950,2,1783272
I1475,2,1224
I568,2,1224
I1242,2,1783272
I3949,2,1783272
I515,2,1224
I3077,2,1783270
I36,2,1224
I3390,2,1783270
I4019,2,1224
I3339,2,1224
I1448,2,1783272
I1928,2,1783272
I2026,2,1783272
I1000,2,1783272
I1572,2,1224
I2115,2,1783272
I1744,2,1783272
I258,2,1783270
I3031,2,1783272
I623,2,1224
I1323,2,1783272
I1852,2,1783272
I3251,2,1783270
I3381,2,1783272
I2185,2,1224
I3772,2,1783272
I2544,2,1783272
I1801,2,1224
I2653,2,1783272
I3457,2,1783272
I1622,2,1783272
I3669,2,29547
I3122,2,1783272
I2915,2,1783272
I1273,2,203691
I78,2,1224
I3659,2,1783272
I4024,2,1224
I1673,2,1783272
I1839,2,1783272
I182,2,1783272
I1478,2,1224
I635,2,1224
I1343,2,1224
I3192,2,1224
I3165,2,1783272
I614,2,1224
I1383,2,1783270
I3821,2,1783272
I1668,2,1783272
I3768,2,1783272
I1159,2,1783272
I2840,2,1783272
I2747,2,1783272
I1413,2,1783272
I873,2,1224
I1592,2,1783272
I2604,2,1224
I2841,2,1783272
I441,2,1224
I2295,2,1783272
I1245,2,1783272
I2937,2,1783272
I2495,2,1783272
I658,2,1224
I2639,2,1783272
I988,2,1224
I1194,2,1783272
I1696,2,1783272
I3069,2,1783270
I2850,2,1783272
I3559,2,1783272
I478,2,1224
I2589,2,1224
I2391,2,1224
I935,2,1783272
I3019,2,1224
I732,2,1224
I2345,2,1783272
I2795,2,1224
I1691,2,1783270
I796,2,1224
I3782,2,1783272
I1665,2,1783272
I586,2,1783272
I3295,2,1783272
I95,2,1783270
I3093,2,1783270
I1670,2,1783272
I1800,2,1224
I2667,2,1783270
I1705,2,1783272
I3695,2,1783272
I841,2,1783272
I3219,2,1783272
I2993,2,1224
I2055,2,1783270
I1642,2,1224
I3393,2,1783270
I1480,2,1224
I908,2,1783272
I2162,2,1783272
I1207,2,1783272
I1765,2,1783272
I627,2,1224
I2483,2,200940
